order_id,order_date,customer_id,segment,region,state,category,sub_category,sales,quantity,discount,profit,profit_margin,calculated_cost_basis
CA-2025-100076,2024-04-15,CS-1293,Corporate,North,Haryana,Office Supplies,Paper,393.14,1,0.1,64.5,16.41,328.64
CA-2025-100077,2026-02-10,CS-1385,Consumer,South,Kerala,Furniture,Tables,1077.56,3,0.2,-334.0,-31.0,1411.56
CA-2025-100078,2025-04-21,CS-1132,Corporate,North,Punjab,Furniture,Furnishings,2810.93,8,0.0,170.57,6.07,2640.36
CA-2025-100079,2025-12-03,CS-1356,Home Office,East,Odisha,Technology,Phones,2242.09,5,0.0,163.22,7.28,2078.87
CA-2025-100080,2025-02-05,CS-1054,Consumer,East,Jharkhand,Office Supplies,Fasteners,752.16,2,0.0,79.51,10.57,672.65
CA-2025-100081,2025-12-30,CS-1378,Consumer,South,Tamil Nadu,Technology,Phones,727.42,9,0.0,125.67,17.28,601.75
CA-2025-100082,2025-07-09,CS-1281,Consumer,South,Tamil Nadu,Office Supplies,Fasteners,430.67,1,0.1,101.05,23.46,329.62
CA-2025-100083,2024-06-10,CS-1387,Home Office,East,West Bengal,Office Supplies,Art,278.51,3,0.1,40.99,14.72,237.52
CA-2025-100084,2024-07-20,CS-1265,Corporate,West,Gujarat,Office Supplies,Art,1009.47,4,0.0,248.79,24.65,760.68
CA-2025-100085,2024-09-26,CS-1470,Home Office,North,Haryana,Furniture,Tables,1246.77,7,0.1,295.92,23.73,950.85
CA-2025-100086,2024-09-27,CS-1215,Consumer,West,Rajasthan,Office Supplies,Fasteners,722.37,4,0.0,128.2,17.75,594.17
CA-2025-100087,2025-03-31,CS-1460,Home Office,South,Karnataka,Office Supplies,Fasteners,787.95,2,0.0,111.57,14.16,676.38
CA-2025-100088,2025-04-06,CS-1458,Consumer,East,West Bengal,Technology,Copiers,305.14,2,0.0,56.85,18.63,248.29
CA-2025-100089,2025-12-27,CS-1290,Consumer,South,Tamil Nadu,Furniture,Chairs,273.46,1,0.0,56.95,20.83,216.51
CA-2025-100090,2024-09-08,CS-1043,Home Office,West,Maharashtra,Furniture,Tables,1224.59,7,0.0,292.21,23.86,932.38
CA-2025-100091,2025-12-02,CS-1074,Home Office,East,West Bengal,Furniture,Chairs,4030.23,9,0.0,808.88,20.07,3221.35
CA-2025-100092,2024-10-22,CS-1350,Consumer,East,Jharkhand,Furniture,Furnishings,137.61,2,0.2,17.66,12.83,119.95
CA-2025-100093,2025-12-25,CS-1278,Consumer,East,West Bengal,Office Supplies,Fasteners,671.94,7,0.0,99.89,14.87,572.05
CA-2025-100094,2025-12-20,CS-1326,Consumer,North,Haryana,Technology,Copiers,464.4,8,0.1,27.59,5.94,436.81
CA-2025-100095,2026-01-18,CS-1242,Consumer,South,Tamil Nadu,Office Supplies,Fasteners,1143.96,3,0.0,63.77,5.57,1080.19
CA-2025-100096,2024-12-03,CS-1130,Consumer,West,Maharashtra,Technology,Copiers,356.53,4,0.0,37.9,10.63,318.63
CA-2025-100097,2024-02-22,CS-1350,Home Office,North,UP,Office Supplies,Binders,2196.89,9,0.1,464.03,21.12,1732.86
CA-2025-100098,2026-03-02,CS-1194,Corporate,West,Gujarat,Furniture,Chairs,1388.6,4,0.1,158.09,11.38,1230.51
CA-2025-100099,2024-08-04,CS-1032,Corporate,North,Punjab,Furniture,Chairs,359.67,6,0.0,26.39,7.34,333.28
CA-2025-100100,2026-02-02,CS-1106,Corporate,East,Odisha,Furniture,Tables,3354.71,8,0.1,406.68,12.12,2948.03
CA-2025-100101,2024-07-06,CS-1400,Corporate,North,UP,Office Supplies,Art,298.35,2,0.0,33.15,11.11,265.2
CA-2025-100102,2025-01-14,CS-1204,Corporate,South,Telangana,Office Supplies,Fasteners,398.23,1,0.0,98.71,24.79,299.52
CA-2025-100103,2025-05-07,CS-1001,Corporate,South,Kerala,Technology,Phones,1395.96,7,0.5,340.99,24.43,1054.97
CA-2025-100104,2024-02-10,CS-1245,Consumer,West,Goa,Technology,Copiers,180.69,1,0.0,35.67,19.74,145.02
CA-2025-100105,2024-06-05,CS-1072,Corporate,East,Odisha,Office Supplies,Art,1007.22,4,0.1,217.34,21.58,789.88
CA-2025-100106,2024-01-15,CS-1432,Corporate,East,Jharkhand,Technology,Phones,1436.0,5,0.1,144.71,10.08,1291.29
CA-2025-100107,2024-03-05,CS-1306,Home Office,West,Gujarat,Office Supplies,Art,427.24,2,0.0,67.31,15.75,359.93
CA-2025-100108,2025-06-04,CS-1397,Home Office,South,Karnataka,Furniture,Chairs,741.45,4,0.0,185.14,24.97,556.31
CA-2025-100109,2024-12-09,CS-1015,Consumer,South,Karnataka,Technology,Phones,2992.81,7,0.0,343.1,11.46,2649.71
CA-2025-100110,2024-05-08,CS-1053,Corporate,West,Goa,Furniture,Tables,348.63,4,0.2,86.19,24.72,262.44
CA-2025-100111,2025-10-09,CS-1428,Consumer,East,Bihar,Technology,Phones,199.76,1,0.5,17.51,8.77,182.25
CA-2025-100112,2025-04-16,CS-1008,Corporate,West,Gujarat,Office Supplies,Fasteners,439.3,4,0.0,76.45,17.4,362.85
CA-2025-100113,2024-03-03,CS-1330,Consumer,West,Goa,Office Supplies,Binders,2118.35,6,0.0,437.2,20.64,1681.15
CA-2025-100114,2024-05-18,CS-1046,Consumer,North,UP,Office Supplies,Fasteners,754.7,5,0.0,127.27,16.86,627.43
CA-2025-100115,2025-05-13,CS-1325,Consumer,West,Rajasthan,Technology,Copiers,1857.66,4,0.0,207.65,11.18,1650.01
CA-2025-100116,2025-08-15,CS-1114,Corporate,South,Tamil Nadu,Furniture,Tables,613.27,2,0.0,-211.09,-34.42,824.36
CA-2025-100117,2025-01-26,CS-1147,Consumer,West,Goa,Furniture,Furnishings,1628.54,6,0.0,147.14,9.04,1481.4
CA-2025-100118,2025-11-05,CS-1495,Home Office,East,Bihar,Office Supplies,Fasteners,927.87,6,0.0,126.24,13.61,801.63
CA-2025-100119,2025-02-22,CS-1166,Consumer,East,Odisha,Furniture,Tables,1555.47,6,0.0,164.8,10.59,1390.67
CA-2025-100120,2024-10-15,CS-1379,Home Office,South,Karnataka,Office Supplies,Art,169.1,4,0.0,25.21,14.91,143.89
CA-2025-100121,2025-01-13,CS-1139,Corporate,East,Bihar,Technology,Phones,641.92,8,0.0,81.83,12.75,560.09
CA-2025-100122,2026-02-11,CS-1117,Consumer,West,Goa,Technology,Accessories,77.28,1,0.5,6.63,8.58,70.65
CA-2025-100123,2025-05-04,CS-1299,Consumer,South,Karnataka,Technology,Phones,3801.1,8,0.0,754.05,19.84,3047.05
CA-2025-100124,2024-08-18,CS-1276,Corporate,East,Odisha,Technology,Phones,1722.66,8,0.1,146.99,8.53,1575.67
CA-2025-100125,2024-02-10,CS-1404,Corporate,West,Rajasthan,Technology,Copiers,927.93,5,0.1,147.66,15.91,780.27
CA-2025-100126,2024-01-28,CS-1277,Corporate,East,West Bengal,Technology,Copiers,3496.98,9,0.0,737.57,21.09,2759.41
CA-2025-100127,2024-05-14,CS-1338,Consumer,North,Delhi,Furniture,Furnishings,1574.59,9,0.5,230.92,14.67,1343.67
CA-2025-100128,2024-07-19,CS-1313,Consumer,East,Jharkhand,Office Supplies,Art,1207.21,4,0.1,274.49,22.74,932.72
CA-2025-100129,2026-02-18,CS-1178,Home Office,South,Karnataka,Technology,Accessories,613.58,2,0.0,83.3,13.58,530.28
CA-2025-100130,2024-02-02,CS-1330,Consumer,West,Goa,Office Supplies,Fasteners,73.68,1,0.0,17.99,24.42,55.69
CA-2025-100131,2024-02-17,CS-1354,Consumer,West,Gujarat,Technology,Phones,1611.06,8,0.0,88.58,5.5,1522.48
CA-2025-100132,2025-05-17,CS-1154,Consumer,South,Kerala,Furniture,Furnishings,1806.3,8,0.5,376.1,20.82,1430.2
CA-2025-100133,2025-02-10,CS-1414,Corporate,North,Haryana,Technology,Phones,3361.67,7,0.0,644.0,19.16,2717.67
CA-2025-100134,2025-07-27,CS-1201,Corporate,West,Maharashtra,Office Supplies,Binders,666.04,3,0.0,114.7,17.22,551.34
CA-2025-100135,2025-12-28,CS-1366,Consumer,South,Tamil Nadu,Furniture,Furnishings,31.55,3,0.0,3.45,10.94,28.1
CA-2025-100136,2024-04-08,CS-1115,Consumer,East,Jharkhand,Furniture,Tables,2037.35,8,0.0,350.72,17.21,1686.63
CA-2025-100137,2025-11-14,CS-1159,Consumer,North,UP,Furniture,Tables,873.48,8,0.1,147.54,16.89,725.94
CA-2025-100138,2025-12-26,CS-1042,Consumer,South,Kerala,Technology,Phones,183.88,2,0.1,14.69,7.99,169.19
CA-2025-100139,2025-06-30,CS-1247,Consumer,East,Odisha,Office Supplies,Fasteners,149.06,1,0.0,33.68,22.59,115.38
CA-2025-100140,2026-01-08,CS-1068,Home Office,West,Gujarat,Technology,Phones,70.09,1,0.0,11.0,15.69,59.09
CA-2025-100141,2025-09-04,CS-1445,Consumer,West,Rajasthan,Office Supplies,Binders,29.23,1,0.1,1.98,6.77,27.25
CA-2025-100142,2025-04-06,CS-1445,Consumer,North,Punjab,Technology,Accessories,615.34,3,0.1,78.96,12.83,536.38
CA-2025-100143,2025-10-04,CS-1326,Home Office,East,Jharkhand,Office Supplies,Art,138.65,1,0.0,12.94,9.33,125.71
CA-2025-100144,2026-02-07,CS-1334,Consumer,South,Tamil Nadu,Furniture,Chairs,975.85,8,0.1,81.7,8.37,894.15
CA-2025-100145,2024-01-05,CS-1196,Corporate,West,Goa,Furniture,Tables,853.65,8,0.1,204.26,23.93,649.39
CA-2025-100146,2024-08-05,CS-1090,Consumer,South,Telangana,Technology,Accessories,1824.15,9,0.2,337.41,18.5,1486.74
CA-2025-100147,2025-05-17,CS-1111,Consumer,South,Telangana,Office Supplies,Paper,1477.12,4,0.0,162.95,11.03,1314.17
CA-2025-100148,2026-02-05,CS-1368,Home Office,South,Kerala,Furniture,Tables,2655.07,8,0.0,-805.83,-30.35,3460.9
CA-2025-100149,2025-02-01,CS-1359,Corporate,North,Punjab,Furniture,Furnishings,3075.71,7,0.1,647.77,21.06,2427.94
CA-2025-100150,2026-03-05,CS-1145,Consumer,South,Tamil Nadu,Furniture,Tables,1648.3,4,0.1,-321.55,-19.51,1969.85
CA-2025-100151,2025-01-27,CS-1275,Corporate,North,Delhi,Technology,Accessories,107.25,1,0.5,26.49,24.7,80.76
CA-2025-100152,2024-07-25,CS-1179,Home Office,North,Haryana,Office Supplies,Paper,1225.08,3,0.0,277.22,22.63,947.86
CA-2025-100153,2024-01-15,CS-1241,Consumer,East,Bihar,Office Supplies,Paper,722.81,8,0.1,151.38,20.94,571.43
CA-2025-100154,2025-07-07,CS-1326,Corporate,West,Goa,Technology,Copiers,821.02,8,0.1,158.5,19.31,662.52
CA-2025-100155,2025-04-05,CS-1319,Home Office,South,Karnataka,Office Supplies,Binders,706.9,2,0.0,40.82,5.77,666.08
CA-2025-100156,2025-11-21,CS-1477,Consumer,East,Odisha,Technology,Copiers,813.31,7,0.0,44.31,5.45,769.0
CA-2025-100157,2025-07-28,CS-1331,Corporate,East,Jharkhand,Office Supplies,Fasteners,115.54,1,0.5,9.59,8.3,105.95
CA-2025-100158,2026-01-12,CS-1464,Corporate,East,Odisha,Technology,Accessories,671.21,4,0.0,156.65,23.34,514.56
CA-2025-100159,2024-08-28,CS-1414,Corporate,East,Odisha,Furniture,Tables,867.95,7,0.0,81.12,9.35,786.83
CA-2025-100160,2025-07-17,CS-1153,Consumer,East,Odisha,Technology,Phones,308.45,4,0.1,58.68,19.02,249.77
CA-2025-100161,2024-04-05,CS-1104,Consumer,South,Karnataka,Office Supplies,Art,1239.22,4,0.0,304.82,24.6,934.4
CA-2025-100162,2026-01-03,CS-1075,Corporate,East,Bihar,Furniture,Tables,236.46,7,0.1,56.15,23.75,180.31
CA-2025-100163,2025-04-29,CS-1128,Consumer,West,Rajasthan,Office Supplies,Binders,354.25,1,0.0,46.07,13.0,308.18
CA-2025-100164,2025-02-10,CS-1199,Consumer,North,Punjab,Office Supplies,Paper,2242.08,5,0.0,417.52,18.62,1824.56
CA-2025-100165,2024-08-18,CS-1154,Consumer,North,Delhi,Furniture,Chairs,1069.81,6,0.0,215.95,20.19,853.86
CA-2025-100166,2026-01-18,CS-1056,Consumer,West,Gujarat,Office Supplies,Paper,1189.87,7,0.2,190.27,15.99,999.6
CA-2025-100167,2025-10-16,CS-1278,Home Office,South,Tamil Nadu,Technology,Copiers,1676.56,7,0.2,259.21,15.46,1417.35
CA-2025-100168,2024-06-19,CS-1345,Consumer,North,UP,Office Supplies,Art,2119.68,7,0.1,200.73,9.47,1918.95
CA-2025-100169,2025-06-24,CS-1019,Home Office,West,Maharashtra,Office Supplies,Binders,553.91,2,0.0,102.57,18.52,451.34
CA-2025-100170,2024-02-05,CS-1159,Consumer,West,Maharashtra,Furniture,Furnishings,2089.63,6,0.0,227.27,10.88,1862.36
CA-2025-100171,2025-06-08,CS-1026,Corporate,East,Bihar,Furniture,Chairs,3655.75,9,0.0,408.42,11.17,3247.33
CA-2025-100172,2024-06-08,CS-1426,Consumer,North,Haryana,Office Supplies,Paper,3465.85,7,0.0,357.47,10.31,3108.38
CA-2025-100173,2025-11-29,CS-1169,Corporate,East,Odisha,Technology,Copiers,708.55,7,0.5,44.76,6.32,663.79
CA-2025-100174,2024-08-30,CS-1484,Corporate,South,Kerala,Technology,Accessories,592.99,2,0.0,129.7,21.87,463.29
CA-2025-100175,2024-03-26,CS-1023,Consumer,North,UP,Office Supplies,Binders,1088.26,7,0.2,242.26,22.26,846.0
CA-2025-100176,2026-03-06,CS-1047,Home Office,North,UP,Office Supplies,Binders,1139.27,9,0.0,221.87,19.47,917.4
CA-2025-100177,2025-07-31,CS-1013,Consumer,West,Gujarat,Office Supplies,Binders,748.22,3,0.5,176.24,23.55,571.98
CA-2025-100178,2025-11-12,CS-1217,Corporate,North,Haryana,Office Supplies,Paper,33.61,2,0.0,5.92,17.61,27.69
CA-2025-100179,2025-07-10,CS-1322,Home Office,South,Karnataka,Office Supplies,Art,225.19,6,0.1,40.07,17.79,185.12
CA-2025-100180,2025-07-27,CS-1194,Home Office,South,Tamil Nadu,Technology,Phones,532.24,2,0.1,121.1,22.75,411.14
CA-2025-100181,2025-10-07,CS-1144,Home Office,North,UP,Furniture,Tables,322.04,1,0.1,29.53,9.17,292.51
CA-2025-100182,2026-03-06,CS-1073,Consumer,West,Goa,Technology,Accessories,1468.52,4,0.0,201.32,13.71,1267.2
CA-2025-100183,2024-01-28,CS-1156,Consumer,South,Tamil Nadu,Furniture,Chairs,2872.45,9,0.1,548.14,19.08,2324.31
CA-2025-100184,2025-09-11,CS-1077,Consumer,East,Jharkhand,Office Supplies,Fasteners,951.39,3,0.2,98.69,10.37,852.7
CA-2025-100185,2025-07-09,CS-1419,Corporate,South,Karnataka,Technology,Accessories,899.72,3,0.2,86.12,9.57,813.6
CA-2025-100186,2024-12-05,CS-1169,Corporate,North,Punjab,Office Supplies,Fasteners,832.59,6,0.5,191.21,22.97,641.38
CA-2025-100187,2026-03-08,CS-1461,Consumer,East,West Bengal,Furniture,Chairs,1442.13,6,0.0,359.38,24.92,1082.75
CA-2025-100188,2024-11-26,CS-1287,Corporate,North,Haryana,Furniture,Chairs,2903.46,8,0.0,369.56,12.73,2533.9
CA-2025-100189,2025-10-01,CS-1085,Consumer,North,UP,Office Supplies,Paper,1770.44,6,0.2,172.3,9.73,1598.14
CA-2025-100190,2025-05-20,CS-1416,Consumer,North,UP,Furniture,Chairs,1383.6,8,0.0,181.1,13.09,1202.5
CA-2025-100191,2024-12-13,CS-1182,Corporate,West,Rajasthan,Office Supplies,Binders,82.42,8,0.1,9.13,11.08,73.29
CA-2025-100192,2025-04-17,CS-1482,Consumer,West,Rajasthan,Office Supplies,Binders,1148.08,7,0.0,246.09,21.43,901.99
CA-2025-100193,2024-08-18,CS-1456,Home Office,South,Telangana,Technology,Accessories,1360.11,5,0.0,313.09,23.02,1047.02
CA-2025-100194,2024-07-08,CS-1315,Consumer,North,UP,Furniture,Furnishings,964.06,4,0.1,123.58,12.82,840.48
CA-2025-100195,2024-08-12,CS-1297,Corporate,East,Bihar,Office Supplies,Paper,196.13,1,0.0,33.33,16.99,162.8
CA-2025-100196,2025-01-19,CS-1112,Consumer,East,Odisha,Office Supplies,Art,2520.95,6,0.1,165.76,6.58,2355.19
CA-2025-100197,2025-01-11,CS-1450,Consumer,East,Bihar,Office Supplies,Paper,1947.31,8,0.0,277.37,14.24,1669.94
CA-2025-100198,2024-10-09,CS-1230,Corporate,West,Gujarat,Furniture,Chairs,281.28,4,0.1,14.45,5.14,266.83
CA-2025-100199,2025-09-24,CS-1096,Home Office,West,Gujarat,Office Supplies,Binders,733.9,7,0.0,135.2,18.42,598.7
CA-2025-100200,2025-09-19,CS-1438,Consumer,North,Delhi,Office Supplies,Fasteners,152.14,3,0.1,12.96,8.52,139.18
CA-2025-100201,2026-01-14,CS-1168,Consumer,East,Odisha,Furniture,Chairs,353.64,5,0.5,79.78,22.56,273.86
CA-2025-100202,2024-09-15,CS-1378,Corporate,East,Odisha,Technology,Copiers,1115.21,7,0.0,196.28,17.6,918.93
CA-2025-100203,2024-12-24,CS-1156,Consumer,West,Rajasthan,Technology,Accessories,1563.66,9,0.0,368.44,23.56,1195.22
CA-2025-100204,2025-12-10,CS-1421,Home Office,West,Goa,Furniture,Tables,3777.53,9,0.0,897.67,23.76,2879.86
